Question,Answer,idx,topic
Do you have information about T-cell count (Also called: Thymus derived lymphocyte count; T-lymphocyte count; T cell count),"A T-cell count measures the number of T cells in the blood. Your doctor may order this test if you have signs of a weak immune system, such as due to having HIV/AIDS.",2934,5
Do you have information about Blood Count Tests (Also called: CBC; Complete Blood Count; Hematologic Tests),"Your blood contains red blood cells (RBC), white blood cells (WBC), and platelets. Blood count tests measure the number and types of cells in your blood. This helps doctors check on your overall health. The tests can also help to diagnose diseases and conditions such as anemia, infections, clotting problems, blood cancers, and immune system disorders.    Specific types include tests for       - RBC - the numbers, size, and types of RBC in the blood    - WBC - the numbers and types of WBC in the blood    - Platelets - the numbers and size of the platelets    - Hemoglobin - an iron-rich protein in red blood cells that carries oxygen    - Hematocrit - how much space red blood cells take up in your blood    - Reticulocyte count - how many young red blood cells are in your blood    - Mean corpuscular volume (MCV) - the average size of your red blood cells       The complete blood count (CBC) includes most or all of these. The CBC is one of the most common blood tests.    NIH: National Heart, Lung, and Blood Institute) ",2935,5
Do you have information about WBC count (Also called: Leukocyte count; White blood cell count),"A WBC count is a blood test to measure the number of white blood cells (WBCs) in the blood.  WBCs help fight infections. They are also called leukocytes. There are five major types of white blood cells:  - Basophils  - Eosinophils  - Lymphocytes (T cells, B cells, and Natural Killer cells)  - Monocytes  - Neutrophils",2936,5
Do you have information about Acid mucopolysaccharides (Also called: AMP; Dermatan sulfate - urine; Urine heparan sulfate; Urine dermatan sulfate; Heparan sulfate - urine),Acid mucopolysaccharides is a test that measures the amount of mucopolysaccharides released into the urine either on 1 episode or over a 24-hour period.  Mucopolysaccharides are long chains of sugar molecules in the body. They are often found in mucus and in fluid around the joints.,2937,5
Do you have information about Body temperature norms (Also called: Normal body temperature; Temperature - normal),"Normal body temperature varies by person, age, activity, and time of day. The average normal body temperature is generally accepted as 98.6F (37C). Some studies have shown that the ""normal"" body temperature can have a wide range, from 97F (36.1C) to 99F (37.2C).  A temperature over 100.4F (38C) most often means you have a fever caused by an infection or illness.  Body temperature normally changes throughout the day.) ",2938,7
What is (are) Defining overweight and obesity - children ?,"Obesity means having too much body fat. It is not the same as overweight, which means weighing too much. Obesity is becoming much more common in childhood. Most often, it begins between the ages of 5 and 6 and in adolescence.  Child health experts recommend that children be screened for obesity at age 2. If needed, they should be referred to weight-management programs.) ",2939,5
Do you have information about Getting a prescription filled (Also called: Prescriptions - how to fill; Medications - how to get prescription filled; Drugs - how to get prescription filled; Pharmacy - mail order; Pharmacy - internet; Types of pharmacies),"Your health care provider may give you a prescription in different ways, including:   - Writing a paper prescription that you take to a local pharmacy  - Calling or e-mailing a pharmacy to order the medicine  - Sending your prescription to the pharmacy by way of a computer that is linked to the provider's electronic medical record (EMR)    You also need to find out if your health plan will pay for the medicine your provider prescribed.   - Certain types or brands of medicine may not be covered.  - Many health plans require you to pay the pharmacy a portion of the cost of the prescription price. This called a co-pay.    Once you get a prescription from your provider, you may buy the medicine in different ways.   LOCAL PHARMACIES   The most common place for filling a prescription is at a local pharmacy. Some pharmacies are located inside of a grocery or large ""chain"" store.   It is best to fill all prescriptions with the same pharmacy. That way, the pharmacy has a record of all the medicines you are taking. This helps prevent drug interactions.   Your health plan may require you to use certain pharmacies. This means they may not pay for your prescription if you do not use one of these pharmacies. To find a pharmacy that takes your health plan:  - Call the phone number on the back of your insurance card.  - Call the pharmacy you want to use to see if they have a contract with your insurance plan.    To help the pharmacist fill the prescription:   - Make sure all of the information is filled in clearly.  - Bring your insurance card the first time you fill the prescription.  - When calling the pharmacy for a refill, make sure to give your name, the prescription number, and the name of the medicine.    MAIL-ORDER PHARMACIES   Some people and insurance companies choose to use mail-order pharmacies.   - The prescription is sent to the mail-order pharmacy or phoned in by the provider.  - Your medicine may cost less when you order it by mail. However, it may take a week or more for the medicine to get to you.  - Mail order is best used for long-term medicines you use for chronic problems.  - Buy short-term medicines and drugs that need to be stored at certain temperatures at a local pharmacy.    INTERNET (ONLINE) PHARMACIES   Internet pharmacies can be used for long-term medicines and medical supplies.   - The website should have clear directions for filling or transferring your prescription.  - Make sure that the website has clearly-stated privacy policies and other procedures.  - AVOID any website that claims a doctor can prescribe the medicine without seeing you.) ",2940,8
Do you have information about Hazardous materials (Also called: HazCom; Hazard communication; Material Safety Data Sheet; MSDS),"Hazardous materials are substances that could harm human health or the environment. Hazardous means dangerous, so these materials must be handled the right way.  Hazard communication, or HAZCOM is teaching people how to work with hazardous materials and waste.  There are many different kinds of hazardous materials, including:  - Chemicals, like some that are used for cleaning  - Drugs, like chemotherapy to treat cancer  - Radioactive material that is used for x-rays or radiation treatments  - Human or animal tissue, blood, or other substances from the body that may carry harmful germs  - Gases that are used to make people sleep during surgery   Hazardous materials can harm you if they:  - Touch your skin  - Splash into your eyes  - Get into your airways or lungs when you breathe  - Cause fires or explosions   Your hospital or workplace has policies about how to deal with these materials. You will receive special training if you work with these materials.",2941,6
What is (are) Hypothermia ? (Also called: Low body temperature; Cold exposure),"Hypothermia is dangerously low body temperature, below 95F (35C).) ",2942,6
What to do for Hypothermia ? (Also called: Low body temperature; Cold exposure),"Other types of cold injuries that affect the limbs are called peripheral cold injuries. Of these, frostbite is the most common freezing injury. Non-freezing injuries that occur from exposure to cold wet conditions include trench foot and immersion foot conditions. Chilblains are a type of nonfreezing injury that develops in cold, dry conditions.   You are more likely to develop hypothermia if you are:  - Very old or very young  - Chronically ill, especially persons who have heart or blood flow problems  - Malnourished  - Overly tired  - Taking certain prescription medicines  - Under the influence of alcohol or drugs) ",2943,7
What causes Hypothermia ? (Also called: Low body temperature; Cold exposure),"Hypothermia occurs when more heat is lost than the body can make. In most cases, it occurs after long periods in the cold.   Common causes include:  - Being outside without enough protective clothing in winter  - Falling into cold water of a lake,river, or other body of water  - Wearing wet clothing in windy or cold weather  - Heavy exertion, not drinking enough fluids, or not eating enough in cold weather) ",2944,6
What are the symptoms of Hypothermia ? (Also called: Low body temperature; Cold exposure),"Asa persondevelops hypothermia, they slowly lose the ability to think and move. In fact, they may even be unaware that they need emergency treatment. Someone with hypothermia also is likely to have frostbite.  The symptoms include:  - Drowsiness  - Weakness and loss of coordination  - Pale and cold skin  - Confusion  - Uncontrollable shivering (although at extremely low body temperatures, shivering may stop)  - Slowed breathing or heart rate   Lethargy, cardiac arrest, shock, and coma can set in without prompt treatment. Hypothermia can be fatal.) ",2945,6
What to do for Hypothermia ? (Also called: Low body temperature; Cold exposure),"Take the following steps if you think someone has hypothermia:  - If the person has any symptoms of hypothermia are present, especially confusion or problems thinking, call 911 right away.  - If the person is unconscious, check airway, breathing, and circulation. If necessary, begin rescue breathing or CPR. If the victim is breathing fewer than 6 breaths per minute, begin rescue breathing.  - Take the person inside to room temperature and cover with warm blankets. If going indoors is not possible, get the person out of the wind and use a blanket to provide insulation from the cold ground. Cover the person's head and neck to help retain body heat.  - Once inside, remove any wet ortight clothes and replace them with dry clothing.  - Warm the person. If necessary, use your own body heat to aid the warming. Apply warm compresses to the neck, chest wall, and groin. If the person is alert and can easily swallow, give warm, sweetened, nonalcoholic fluids to aid the warming.  - Stay with the person until medical help arrives.) ",2946,6
What to do for Hypothermia ? (Also called: Low body temperature; Cold exposure),"- Do NOT assume that someone found lying motionless in the cold is already dead.  - Do NOT use direct heat (such as hot water, a heating pad, or a heat lamp) to warm the person.  - Do NOT give the person alcohol!) ",2947,6
Do I need to see a doctor for Hypothermia ? (Also called: Low body temperature; Cold exposure),Call 911 anytime you suspect someone has hypothermia. Give first aid while awaiting emergency help.) ,2948,9
How to prevent Hypothermia ? (Also called: Low body temperature; Cold exposure),"Before you spend time outside in the cold, do NOT drink alcohol or smoke. Drink plenty of fluids and get enough food and rest.  Wear proper clothing in cold temperatures to protect your body. These include:  - Mittens (not gloves)  - Wind-proof, water-resistant, many-layered clothing  - Two pairs of socks (avoid cotton)  - Scarf and hat that cover the ears (to avoid major heat loss through the top of your head)    Avoid:  - Extremely cold temperature, especially with high winds  - Wet clothes  - Poor circulation, which is more likely from age, tight clothing or boots, cramped positions, fatigue, certain medications, smoking, and alcohol) ",2949,0
Do you have information about Temperature measurement,The measurement of body temperature can help detect illness. It can also monitor whether or not treatment is working. A high temperature is a fever.,2950,2
What is (are) adenosine monophosphate deaminase deficiency ? (Also called: AMP deaminase deficiency; exercise-induced myopathy; MAD deficiency; MADA deficiency; muscle AMP deaminase deficiency; myoadenylate deaminase deficiency),"Adenosine monophosphate (AMP) deaminase deficiency is a condition that can affect the muscles used for movement (skeletal muscles). People with this condition do not make enough of an enzyme called AMP deaminase. In most people, AMP deaminase deficiency does not cause any symptoms. People who do experience symptoms typically have muscle pain (myalgia) or weakness after exercise or prolonged physical activity. They often get tired more quickly and stay tired longer than would normally be expected. Some affected individuals have more severe symptoms, but it is unclear whether these symptoms are due solely to a lack of AMP deaminase or additional factors. Muscle weakness is typically apparent beginning in childhood or early adulthood.  Researchers have proposed three types of AMP deaminase deficiency, which are distinguished by their symptoms and genetic cause.) ",2951,3
How many people are affected by adenosine monophosphate deaminase deficiency ? (Also called: AMP deaminase deficiency; exercise-induced myopathy; MAD deficiency; MADA deficiency; muscle AMP deaminase deficiency; myoadenylate deaminase deficiency),"AMP deaminase deficiency is one of the most common inherited muscle disorders in white populations, affecting 1 in 50 to 100 people. The prevalence is lower in African Americans, affecting an estimated 1 in 40,000 people, and the condition is even less common in the Japanese population.) ",2952,3
What are the genetic changes related to adenosine monophosphate deaminase deficiency ? (Also called: AMP deaminase deficiency; exercise-induced myopathy; MAD deficiency; MADA deficiency; muscle AMP deaminase deficiency; myoadenylate deaminase deficiency),"Mutations in the AMPD1 gene cause AMP deaminase deficiency. The AMPD1 gene provides instructions for producing an enzyme called AMP deaminase. This enzyme is found in skeletal muscle, where it plays a role in producing energy within muscle cells. Mutations in the AMPD1 gene disrupt the function of AMP deaminase and impair the muscle cells' ability to produce energy. This lack of energy can lead to myalgia or other muscle problems associated with AMP deaminase deficiency.  The three types of AMP deaminase deficiency are known as the inherited type, acquired type, and coincidental inherited type.  Individuals with the inherited type have a mutation in both copies of the AMPD1 gene in each cell. Most people are asymptomatic, meaning they have no symptoms. Some people with AMP deaminase deficiency experience muscle weakness or pain following exercise.  The acquired type occurs in people who have decreased levels of AMP deaminase due to the presence of a muscle or joint condition.  People with the coincidental inherited type have a mutation in both copies of the AMPD1 gene. Additionally, they have a separate joint or muscle disorder. Some individuals experience more severe joint or muscle symptoms related to their disorder if they have AMP deaminase deficiency than do people without this enzyme deficiency. Most, however, do not have any symptoms associated with AMP deaminase deficiency.  It is not known why most people with this condition do not experience symptoms. Researchers speculate that additional mutations in other genes may be involved.) ",2953,3
Is adenosine monophosphate deaminase deficiency inherited ? (Also called: AMP deaminase deficiency; exercise-induced myopathy; MAD deficiency; MADA deficiency; muscle AMP deaminase deficiency; myoadenylate deaminase deficiency),"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.) ",2954,7
What are the treatments for adenosine monophosphate deaminase deficiency ? (Also called: AMP deaminase deficiency; exercise-induced myopathy; MAD deficiency; MADA deficiency; muscle AMP deaminase deficiency; myoadenylate deaminase deficiency),These resources address the diagnosis or management of adenosine monophosphate deaminase deficiency:  - MedlinePlus Encyclopedia: Muscle aches  - MedlinePlus Encyclopedia: Weakness   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care) ,2955,2
What are the brand names of Glimepiride ?,- Amaryl) ,2956,7
What are the brand names of combination products of Glimepiride ?,"- Avandaryl (containing Glimepiride, Rosiglitazone)  - Duetact (containing Glimepiride, Pioglitazone)) ",2957,2
Who should get Glimepiride and why is it prescribed ?,"Glimepiride is used along with diet and exercise, and sometimes with other medications, to treat type 2 diabetes (condition in which the body does not use insulin normally and, therefore, cannot control the amount of sugar in the blood). Glimepiride lowers blood sugar by causing the pancreas to produce insulin (a natural substance that is needed to break down sugar in the body) and helping the body use insulin efficiently. This medication will only help lower blood sugar in people whose bodies produce insulin naturally. Glimepiride is not used to treat type 1 diabetes (condition in which the body does not produce insulin and, therefore, cannot control the amount of sugar in the blood) or diabetic ketoacidosis (a serious condition that may occur if high blood sugar is not treated).  Over time, people who have diabetes and high blood sugar can develop serious or life-threatening complications, including heart disease, stroke, kidney problems, nerve damage, and eye problems. Taking medication(s), making lifestyle changes (e.g., diet, exercise, quitting smoking), and regularly checking your blood sugar may help to manage your diabetes and improve your health. This therapy may also decrease your chances of having a heart attack, stroke, or other diabetes-related complications such as kidney failure, nerve damage (numb, cold legs or feet; decreased sexual ability in men and women), eye problems, including changes or loss of vision, or gum disease. Your doctor and other healthcare providers will talk to you about the best way to manage your diabetes.) ",2958,0
How should Glimepiride be used and what is the dosage ?,"Glimepiride comes as a tablet to take by mouth. It is usually taken once a day with breakfast or the first main meal of the day. To help you remember to take glimepiride, take it at around the same time every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take glimepiride exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor.  Your doctor will probably start you on a low dose of glimepiride and gradually increase your dose if needed. After you have taken glimepiride for some time, glimepiride may not control your blood sugar as well as it did at the beginning of your treatment. Your doctor may adjust the dose of your medication as needed so that the medication will work best for you. Be sure to tell your doctor how you are feeling and if your blood sugar test results have been higher or lower than normal at any time during your treatment.  Glimepiride helps control blood sugar but does not cure diabetes. Continue to take glimepiride even if you feel well. Do not stop taking glimepiride without talking to your doctor.) ",2959,9
What should I do if I forget a dose of Glimepiride ?,"Before you start to take glimepiride, ask you doctor what you should do if you forget to take a dose. Write these directions down so that you can refer to them later.  As a general rule, take the missed dose as soon as you remember it. If it is almost time for the next dose, skip the missed dose and continue your regular dosing schedule. Do not take a double dose to make up for a missed one.) ",2960,8
What are the side effects or risks of Glimepiride ?,"This medication may cause changes in your blood sugar. You should know the symptoms of low and high blood sugar and what to do if you have these symptoms. Glimepiride may cause side effects. Tell your doctor if any of these symptoms are severe or do not go away:   - dizziness  - nausea  Some side effects can be serious. If you experience any of these symptoms, call your doctor immediately:   - yellowing of the skin or eyes  - light-colored stools  - dark urine  - pain in the upper right part of the stomach  - unusual bruising or bleeding  - diarrhea  - fever  - sore throat   Glimepiride may cause other side effects. Call your doctor if you have any unusual problems while taking this medication.  If you experience a serious side effect, you or your doctor may send a report to the Food and Drug Administration's (FDA) MedWatch Adverse Event Reporting program online (http://www.fda.gov/Safety/MedWatch) or by phone (1-800-332-1088).  In one study, people who took a medication similar to glimepiride to treat their diabetes were more likely to die of heart problems than people who were treated with insulin and diet changes. Talk to your doctor about the risks of taking glimepiride.) ",2961,4
What to do in case of emergency or overdose of Glimepiride ?,"In case of overdose, call your local poison control center at 1-800-222-1222. If the victim has collapsed or is not breathing, call local emergency services at 911. Symptoms of overdose may include hypoglycemia symptoms as well as the following:   - seizures  - loss of consciousness) ",2962,5
What other information should I know about Glimepiride ?,"Keep all appointments with your doctor and the laboratory. Your fasting blood sugar levels and glycosylated hemoglobin (HbA1c) should be checked regularly to determine your response to glimepiride. Your doctor may order other lab tests to check your response to glimepiride. Your doctor will also tell you how to check your response to this medication by measuring your blood sugar levels at home. Follow these instructions carefully.  You should always wear a diabetic identification bracelet to be sure you get proper treatment in an emergency.  Do not let anyone else take your medication. Ask your pharmacist any questions you have about refilling your prescription.  It is important for you to keep a written list of all of the prescription and nonprescription (over-the-counter) medicines you are taking, as well as any products such as vitamins, minerals, or other dietary supplements. You should bring this list with you each time you visit a doctor or if you are admitted to a hospital. It is also important information to carry with you in case of emergencies.) ",2963,9
What should I know about storage and disposal of Glimepiride ?,"Keep this medication in the container it came in, tightly closed, and out of reach of children. Store it at room temperature and away from excess heat and moisture (not in the bathroom). Throw away any medication that is outdated or no longer needed. Talk to your pharmacist about the proper disposal of your medication.) ",2964,6
"Corona-virus. At 33 you may not need testing. You should isolate yourself.  Follow the following guideline: https://www.healthtap.com/blog/post/covid19-coronavirus-self-quarantine-guide  At this time I know you could contact someone through Healthtap, but the testing can be recommended, but no tests to do it. Let your local provider or health provider know. If you would have worsening SOB go to ER. .",I have a constant cough and my chest has now become tight. I also have a tickle in my throat. I would like to be tested for Coronavirus please.,2965,8
"Less likely. Recommended to stay 6 feet apart. However, if no touching and the person was not sneezing the likelyhood of transmission is low. .",If someone has carona virus and iam passing by him or talking to him without touching he is just breathing. Can this virus effect you by just breathing by the effected or u have to be touched or sneezed upon you to get this virus?,2966,1
"Test   Please stay at home, rest, drink fluids and monitor your temperature.   Arrange for testing locally.You may need respiratory treatments, and additional testing for influenza and Strep A. Please contact your PCP for additional or worsening symptoms.   Would you like to video or text chat with me?","I am concerned that I’m showing symptoms of corona. I have a tight chest, regular headaches, fever, and infrequent coughing and sneezing. My throat is also sore. I’ve also been in the vicinity of someone who has tested positively for the virus.  ?",2967,8
"Death. At your age the risk of death is the following:  0.1–0.2. If your diabetes is controlled your risk should not be markedly worse. Make sure you follow appropriate gudelines. Neve a guarantee, but your risk of serious problem is still pretty low. .","What are my chances of becoming seriously ill or dying from the virus, as I have diabetes? So scared.",2968,3
"Unknown but low   Based on current data it is low, likely less than 1-2%.   However just because you are young doesn’t mean you cannot end up really sick. Take care of yourself. Social distancing, wash you hands, etc  Would you like to video or text chat with me?",Nervous about coronavirus. I am 26 years old and have high blood pressure. I am curious chances of me dieing if I contract the virus.,2969,6
Yes. Everyone with flu like symptoms should be tested for Covid19. Test is becoming more widely available in the United States as the pandemic worsens.,"Sick for past week. Doctor prescribed meds. Not feeling better. Symptoms are shortness of breath, difficulty breathing, barking cough, mild headache, body ache. Should I consider getting tested for Covid 19.",2970,3
Maybe. Do video w/.,I work in an open office. Experiencing daily coughing and run a bit of a fever. Sneezing frequently. Should I get tested for Covid 9? Situated in JHB.,2971,3
"If bad, needs ER   COVID-19 pandemic at this time, so a doctor on video may consult by video instead of requiring an in-person visit.   Flu-like symptoms can be from a strep throat infection, a cold or influenza, or from some other cause like COVID-19. Usually, a person calls the doctor if the symptoms are bothersome, serious, recurrent, or persistent. COVID-19 testing depends on local availability. (3/22/20)  Would you like to video or text chat with me?","I think I have COVID-19. I have difficulty breathing (shortness of breath), tightness in chest, sore throat and light fever. Symptoms have been progressing and getting stronger over the last 4 days. I had diarrhea two days ago.",2972,3
"Depends on severity. COVID-19 pandemic at this time, so a doctor on video may consult by video instead of requiring an in-person visit. Flu-like symptoms can be from a strep throat infection, a cold or influenza, or from some other cause like COVID-19. Usually, a person calls the doctor if the symptoms are bothersome, serious, recurrent, or persistent. COVID-19 testing depends on local availability. (3/22/20).",What is the treatment for Covid-19?,2973,3
"Not a bad idea. Many pharmacists also are trying to work from home whenever possible. Your best reference going forward will be your Obs-gyn doc and based on your institution's flexibility and further government regulations either work from home, if possible, or go in maternity leave.",I am a pregnant pharmacist working in a government hospital. I am in my third trimester. Should I take leave until my maternity leave starts due to the coronavirus pandemic? Government has not made any recommendations for pregnant healthcare workers.,2974,9
Call Discovery   You'll need to call Discovery.  Would you like to video or text chat with me?,"I am the main member of discovery, I want to complete a health covid assessment for my husband? Please let me know how to do so?",2975,2
"Self-quarantine!    Enter self-quarantine then call your health care provider to get instructions regarding testing, self-quarantine and possible hospitalization then follow through!  Would you like to video or text chat with me?",Hi There. I was at a festival over this past weekend and there has been a report of someone testing positive now. Is it a good idea to go for a test and/or self isolate ? Is national travel by car ok ?,2976,4
Maybe. Do video w/.,"Hi. My son is 2 years old. Last week he fell ill for a day or two. He kept vomiting and had a day of diarree. However since last night he is couching constantly with plegm and runny nose, and loss of appetite. Do I need to test him for COVID-19?",2977,3
"If real contact... Self-quarantine helps:  Stay at home, except for going to get medical care. Do not go to work, school, church, playgrounds, or other public areas. For medical care questions about your COVID-19 symptoms or other health issues, get advice from your doctor by video or phone. See the full guide at:  https://www.healthtap.com/blog/post/covid19-coronavirus-self-quarantine-guide.",What must I do if I have been in contact with a covid19 positive person?,2978,4
"Hard to guess. COVID-19 pandemic at this time, so a doctor on video may consult by video instead of requiring an in-person visit. Flu-like symptoms can be from a strep throat infection, a cold or influenza, or from some other cause like COVID-19. Usually, a person calls the doctor if the symptoms are bothersome, serious, recurrent, or persistent. COVID-19 testing depends on local availability. (3/22/20).",I have covid 19 symptoms but I’m not sure if I have it or it’s the flu?,2979,3
"Self quarentine. The current NICD and department of health guidelines are to self isolate for 14 days. If you develop fever, cough or shortness of breath contact your primary care provider and arrange for testing. For more info Whatsapp the word ""Hi"" to excellent  department of health hot-line 0600 123456. .",I was in contact with someone who has tested positive for Covid-19. He does not have symptoms. Test was done on 18 March. I do not have any symptoms except for a running stomach. What should I do? Thanks.,2980,8
"Early COVID-19? Call your health care provider to get instructions regarding testing, self-quarantine and possible hospitalization then follow through!","Body ache and fever, scratchy itchy throat?",2981,4
Notify. Given worsening symptoms and muscle aches likely your have some type  flu bug. Barking cough is typically more of a sign of virus.  Given recent problems with COVID your worsening symptoms should be double checked. .,"I have been sick for over a week. I went to my Doc and he prescribed me meds. I have been on antibiotics for 3/5 days and I’m not feeling better. I have shortness of breath, tightness in chest, barking cough, dull headache, body ache. Please advise.",2982,3
"Maybe. Do video w/Dr   Throat pain can be from a strep throat infection (antibiotics needed), a cold or influenza (antibiotics usually not used), or from some other cause such as allergies or irritants.   Usually, a person sees the doctor (call first) if the sore throat is bothersome, recurrent, or doesn't go away quickly. COVID-19 infections tend to have cough, whereas strep usually lacks cough but has more throat pain.  Would you like to video or text chat with me?","I have a sore throat, slight cough, tiredness. Should I get tested fro Covid 19?",2983,3
"Coronavirus PUI crit. Self-quarantine and monitor yourself for 14 days from return date.If symptoms develop, Please contact the NICD for screening to see if you have to get tested.Public Hotlines:+27 800029999; +27 800111132; +27 82 883 9920.","Hi, I arrived from the Netherlands on Monday morning. No symptoms but have been around my helper. Should we get tested?",2984,8
Maybe. Do video w/.,"My daughter has had a high temperature (around 37 degrees), sore throat and headaches for 2 days. She is responding to medication. Should I have her tested for COVID19?",2985,4
"Test   Since there is a risk for coronavirus, please stay home, rest and drink fluids.   Monitor for symptoms including fever, dry cough and/or shortness of breath. Avoid contact with others and consider testing. The symptoms of COVID 19 may be very mild. Travel is one risk factor for acquiring the disease.  Would you like to video or text chat with me?","Hi there, I was recently in close contact with someone who travelled overseas. The person has become ill but has not communicated whether or not they’ve been tested. Should I go and get tested for covid19?",2986,3
"Too soon to recover   On aveage, viral respiratory illnesses may take 2-3 weeks for full recovery and severe cases may take 4-6 weeks.  If your symptoms worsen, you should contact your health care provider to inquire regarding Corona virus testing or quarantine.  Would you like to video or text chat with me?",Hi! I’ve had a cold since 13 March.  I have since started coughing and just don’t seem to be recovering. One day I will be feeling fine and the next day back to feeling terrible. Lots of tight phlegm and very sore throat.  ?,2987,3
"Viral systemic infec   Sounds like it could be systemic infection, like Influenza or Corona viruses.  Please contact the NICD for screening to see if you have to get tested.Public Hotline:+27 800029999; +27 800111132; +27 82 883 9920.Only use Paracetamol for pain, if not allergic to it.  Would you like to video or text chat with me?",Hi Dr.  my whole body feels sore as well as my neck.  My brain feels loose in my head and have headaches?,2988,1
"Get meds refilled. With the COVID-19 pandemic, people with chronic conditions or even intermittent conditions should get their meds refilled in case pharmacy services close down. For asthma patients, they should refill their inhalers. Some use only an urgent ""rescue"" inhaler like albuterol, while others also use ""preventive"" inhalers like fluticasone. It's best to keep both on hand. If symptoms go bad, it's ER time.",I am an asthmatic but rarely need my inhaler and haven’t had an attack in decades however with Covid 19 I’d like to put in place some measures in case the health services get overwhelmed. What drugs can I take if inhalers don’t work?,2989,5
"Probably...   ... but we here on this forum answer general medical questions, not particulars of individual medical coverage.   Call Medival aid to know for sure.  Would you like to video or text chat with me?",Will I be covered if I get Corona 19 with my medival aid?,2990,9
"Flu like symptoms. Stay home for 7 days while you monitor your temperature. COVID 19 is typically associated with dry cough, fever and shortness of breath. Your nasal congestion and muscle aches are more typical of influenza. If you develop a fever or worsening, please arrange testing for both influenza and coronavirus. Drink fluids, rest and avoid contact with others.","I have travelled to HK in the past week and returned to South Africa on Tuesday, I have had no symptoms however today this is what I am experiencing. I would like to get tested for Covid19?",2991,3
Yes:   Not wheezing but difficulty of breathing is a symptom of the corona virus infection but it is not the common one.   It can be seen sometimes. The common symptoms are fever and cough mostly dry cough. The wheezing could be due to asthma or allergies in general. Since covid 19 can be seen even without any symptoms i suggest you to get in touch with your doctor for advise and follow up with you.  Would you like to video or text chat with me?,Can wheezing and some difficulty breathing be symptoms of corona virus? I don’t feel anything else so far and I’ve only felt it a few hours.,2992,3
Covid 19 tests   You can be tested either at any of the private labs or at selected government clinics.   You need to meet the criteria for testing before it is done.  Would you like to video or text chat with me?,Hi Where in Cape Town can you get tested for covid19?,2993,3
"Virus. Symptoms could be either influenza or the covid 19 virus. Call your local doctor to discuss these new changes in your health to determine what testing will,be needed, and steps you should take. At least for,now, treat the symptoms with acetaminophen (not ibuprofen) , Cough syrup. Isolate yourself away from other people, wear a mask to avoid spreading virus, sneeze into elbow, wash hands frequently.","Body aching all of a sudden, head heavy and paining, sneezing, somewhat fever since yesterday.",2994,1
"Call a doctor   Most places require a doctor to order this, but check into your local healthcare services to see if there is way for you to be tested without that, good luck.   There are criteria in most places to qualify for testing, so look into that to see if you qualify, ask your doctor...  Would you like to video or text chat with me?",I need to check if I have COVID-19?,2995,9
"Anxiety   Your anxiety is overall justified, given massive social tension mounted by the pandemic.   Depending on local resources and through your doc's office, you may benefit from counseling from a clinical psychologist via telemedicine in order to avoid exposure during lockdown. Use this time to connect to your loved ones remotely ( Skype, phone, etc) and talk about your worries.  Would you like to video or text chat with me?","I try to control my blood sugars as best I can, but it’s so difficult at times. I’m so scared that because of this, I will die or be seriously ill if I get the virus. I am simply terrified. Please help.",2996,9
Urgent Care!    You must go to an Urgent Care Center or Emergency Room as soon as possible to have an exam at which time lab tests & a chest X-ray should be ordered to help determine your diagnosis.   The sooner you are properly evaluated & treated the better! I wish you well with your health!   Would you like to video or text chat with me?,I suspect I may have contracted covid 19. I have a sharp pain in my chest as well.,2997,4
"Good question. Awareness and precautions are important, but your wife plays a valuable role for those who have contracted the disease. She will be at higher risk than the general population and we are seeing HCPs contracting Covid-19. There is no one correct answer to this question because situations vary. Best option is for your wife to discuss this with her employer and take precautions. Good luck!","I’m so scared of the coronavirus with my diabetes, that I’m wondering if my wife should not work in her GP practice? It’s putting us both at major risk isn’t it?",2998,8
"Call a doctor    You may need a doctor’s order ASAP if you’ve been exposed and are symptomatic, to get tested, so call to get that order, and when you go to get tested, please try to place a mask on your face to protect others if you can  Would you like to video or text chat with me?","I’m showing signs of flu and shortness of breath over the last week. I just found out this morning that I was exposed to someone who tested positive. I need advise on how to get tested and treated (if required), beyond just self quarantining.",2999,9
"COVID-19 criteria   Do you have any medical conditions that would put you at high risk? If so, I would book a virtual consult with a dr. If not, we are not currently testing due to lack of capacity if there is no fever, dry cough & shortness of breath with travel history.   I would treat for flu and complete 14 days (possibly longer if still sick) quarantine and contact a dr if condition changes  Would you like to video or text chat with me?","I have travelled in the last 14 days was in Cairo, Sharm El Sheik and Dubai  Arrived back in SA 9 days ago and have been self-isolated. I have started with mild symptoms such as sore throat, cough, fatigue but temperature is normal. I need a referral?",3000,3
"Probably not. Fever and cough, headache, body aches are much more common. Please follow your symptoms, treat appropriately. Honey in hot tea, gargle with salt water, suck hard candy. Secrets/cepachol losenges should decrease symptoms. Good luck.",Having slight itching at throat but no cough. Is it any thing related to covid?,3001,8
