,sentence_Question,sentence_Answer,topic,sentiment
2365,what causes high blood pressure ?,"changes in body functions researchers continue to study how various changes in normal body functions cause high blood pressure. the key functions affected in high blood pressure include - kidney fluid and salt balances - the renin-angiotensin-aldosterone system - the sympathetic nervous system activity - blood vessel structure and function. kidney fluid and salt balances the renin-angiotensin-aldosterone system the sympathetic nervous system activity blood vessel structure and function. kidney fluid and salt balances the kidneys normally regulate the bodys salt balance by retaing sodium and water and eliminating potassium. imbalances in this kidney function can expand blood volumes, which can cause high blood pressure. renin-angiotensin-aldosterone system the renin-angiotensin-aldosterone system makes angiotensin and aldosterone hormones. angiotensin narrows or constricts blood vessels, which can lead to an increase in blood pressure. aldosterone controls how the kidneys balance fluid and salt levels. increased aldosterone levels or activity may change this kidney function, leading to increased blood volumes and high blood pressure. sympathetic nervous system activity the sympathetic nervous system has important functions in blood pressure regulation, including heart rate, blood pressure, and breathing rate. researchers are investigating whether imbalances in this system cause high blood pressure. blood vessel structure and function changes in the structure and function of small and large arteries may contribute to high blood pressure. the angiotensin pathway and the immune system may stiffen small and large arteries, which can affect blood pressure. genetic causes high blood pressure often runs in families. years of research have identified many genes and other mutations associated with high blood pressure. however, known genetic factors only account for 2 to 3 percent of all cases. emerging research suggests that certain dna changes before birth also may cause the development of high blood pressure later in life. unhealthy lifestyle habits can cause high blood pressure, including - high sodium intake and sodium sensitivity - drinking too much alcohol - lack of physical activity. high sodium intake and sodium sensitivity drinking too much alcohol lack of physical activity. overweight and obesity research studies show that being overweight or obese can increase the resistance in the blood vessels, causing the heart to work harder and leading to high blood pressure. medicines prescription medicines such asthma or hormone therapies.  and over-the-counter medicines such as cold relief medicines may cause high blood pressure. this happens because medicines can - change the way your body controls fluid and salt balances - cause your blood vessels to constrict - impact the renin-angiotensin-aldosterone system, leading to high blood pressure. change the way your body controls fluid and salt balances cause your blood vessels to constrict impact the renin-angiotensin-aldosterone system, leading to high blood pressure. other causes of high blood pressure include medical conditions such as chronic kidney disease, sleep apnea, thyroid problems, or certain tumors. these conditions can change the way your body controls fluids, sodium, and hormones in your blood, which leads to secondary high blood pressure.)",4,0
2366,what is.  high blood pressure ?,"blood pressure is the force of blood pushing against the walls of the blood vessels as the heart pumps blood. if your blood pressure rises and stays high over time, its called high blood pressure. high blood pressure is dangerous because it makes the heart work too hard, and the high force of the blood flow can harm arteries and organs such as the heart, kidneys, brain, and eyes.)",4,0
2367,what is.  high blood pressure ?,"normal blood pressure for adults is defined as a systolic pressure below 120 mm. hg and a diastolic pressure below 80 mm. hg. it is normal for blood pressures to change when you sleep, wake up, or are excited or nervous. when you are active, it is normal for your blood pressure to increase. however, once the activity stops, your blood pressure returns to your normal baseline range. blood pressure normally rises with age and body size. newborn babies often have very low blood pressure numbers that are considered normal for babies, while older teens have numbers similar to adults.)",4,0
2368,what is.  high blood pressure ?,"high blood pressure is a common disease in which blood flows through blood vessels.  at higher than normal pressures. there are two main types of high blood pressure: primary and secondary high blood pressure. primary, or essential, high blood pressure is the most common type of high blood pressure. this type of high blood pressure tends to develop over years a person ages. secondary high blood pressure is caused by another medical condition or use of certain medicines. this type usually resolves after the cause is treated or removed.)",4,0
2369,do you have information about cataract removal.,cataract removal is surgery to remove a clouded lens.  from the eye. cataracts are removed to help you see better. the procedure almost always includes placing an artificial lens.  in the eye.,1,2
2370,what is.  congenital cataract.,a congenital cataract is a clouding of the lens of the eye that is present at birth. the lens of the eye is normally clear. it focuses light that comes into the eye onto the retina.),1,2
2371,do i need to see a doctor for congenital cataract.,call for an urgent appointment with your baby's health care provider if: - you notice that the pupil of 1 or both eyes appears white or cloudy. - the child seems to ignore part of their visual world.),1,2
2372,what is.  contraindication ?,"a contraindication is a specific situation in which a drug, procedure, or surgery should not be used because it may be harmful to the person. there are two types of contraindications: - relative contraindication means that caution should be used when two drugs or procedures are used together.  - absolute contraindication means that event or substance could cause a life-threatening situation. a procedure or medicine that falls under this category should be avoided. some treatments may cause unwanted or dangerous reactions in people with allergies, high blood pressure, or pregnancy. for example, isotretinoin, a drug used to treat acne is absolutely contraindicated in pregnancy due to the risk of birth defects. certain decongestants are contraindicated in people with high blood pressure and should be avoided. many medicines should not be used together by the same person. for instance, a person who takes warfarin to thin the blood should not take aspirin, which is a blood thinner. this an example of a relative contraindication.)",0,0
2373,do you have information about crying - excessive..,"infants normally cry about 1 to 3 hours a day. it is perfectly normal for an infant to cry when hungry, thirsty, tired, lonely, or in pain. it is also normal for a baby to have a fussy period in the evening. but, if an infant cries too often, it may be a sign of something that needs treatment.",1,0
2374,do you have information about developmental milestones record - 12 months.,the typical 12-month-old child will demonstrate certain physical and mental skills. these skills are called developmental milestones.,1,2
2375,do you have information about developmental milestones record - 18 months.,the typical 18-month-old child will demonstrate certain physical and mental skills. these skills are called developmental milestones.,1,2
2376,do you have information about developmental milestones record - 2 months.,this article describes the skills and growth targets of 2-month-old infants.,4,2
2377,do you have information about developmental milestones record - 4 months.,typical 4-month-old infants are expected to develop certain physical and mental skills. these skills are called milestones.,1,2
2378,do you have information about developmental milestones record - 6 months.,this article describes the skills and growth targets for 6-month-old infants.,4,2
2379,do you have information about developmental milestones record - 9 months.,"at 9 months, a typical infant will have certain skills and reach growth markers called milestones.",1,2
2380,do you have information about feeding patterns and diet - children 6 months to 2 years,an age-appropriate diet: - gives your child proper nutrition - is right for your child's state of development - can help prevent childhood obesity,5,2
2381,do you have information about using your shoulder after replacement surgery.,you have had shoulder replacement surgery to replace the bones of your shoulder joint with artificial parts. the parts include a stem made of metal and a metal ball that fits on the top of the stem. a plastic piece is used as the new surface of the shoulder blade. now that you are home you will need to know how to protect your shoulder as it heals.,1,2
2382,do you have information about using your shoulder after surgery.,"you had surgery on your shoulder to repair a muscle, tendon, or cartilage tear. the surgeon may have removed damaged tissue. you will need to know how to take care of your shoulder as it heals, and how to make it stronger.",1,2
2383,do you have information about anabolic steroids.,"anabolic steroids are man-made substances related to male sex hormones. doctors use anabolic steroids to treat some hormone problems in men, delayed puberty, and muscle loss from some diseases. bodybuilders and athletes often use anabolic steroids to build muscles and improve athletic performance. using them this way is not legal or safe. abuse of anabolic steroids has been linked with many health problems. they include - acne - breast growth and shrinking of testicles in men - voice deepening and growth of facial hair in women - high blood pressure - heart problems, including heart attack - liver disease, including cancer - kidney damage - aggressive behavior nih: national institute on drug abuse)",3,0
2384,do you have information about steroids.,"you may have heard of anabolic steroids, which can have harmful effects. but there's another type of steroid - sometimes called a corticosteroid - that treats a variety of problems. these steroids are similar to hormones that your adrenal glands make to fight stress associated with illnesses and injuries. they reduce inflammation and affect the immune system. you may need to take corticosteroids to treat - arthritis - asthma - autoimmune diseases such as lupus and multiple sclerosis - skin conditions such as eczema and rashes - some kinds of cancer steroids are strong medicines, and they can have side effects, including weakened bones and cataracts. because of this, you usually take them for as short a time as possible.)",3,0
2385,what other information should i know about aclidinium oral inhalation ?,"keep all appointments with your doctor. do not let anyone else use your medication. ask your pharmacist any questions you have about refilling your prescription. it is important for you to keep a written list of all of the prescription and nonprescription.  medicines you are taking, as well as any products such as vitamins, minerals, or other dietary supplements. you should bring this list with you each time you visit a doctor if you are admitted to a hospital. it is also important information to carry with you in case of emergencies.)",2,2
2386,do you have information about dietary fats explained,"fats are a type of nutrient that you get from your diet. it is essential to eat some fats, though it is also harmful to eat too many. the fats you eat give your body energy that it needs to work properly. during exercise, your body uses calories from carbohydrates you have eaten. but after 20 minutes, exercise then depends on calories from fat to keep you going. you also need fat to keep your skin and hair healthy. fat also helps you absorb vitamins a, d, e, and k, the so-called fat-soluble vitamins. fat also fills your fat cells and insulates your body to help keep you warm. the fats your body gets from your food give your body essential fatty acids called linoleic and linolenic acid. they are called ""essential"" because your body cannot make them itself, or work without them. your body needs them for brain development, controlling inflammation, and blood clotting. fat has 9 calories per gram, more than 2 times the number of calories in carbohydrates and protein, which each have 4 calories per gram. all fats are made up of saturated and unsaturated fatty acids. fats are called saturated or unsaturated depending on how much of each type of fatty acid they contain.",6,2
2387,what is.  digestive diseases ?,"digestive diseases are disorders of the digestive tract, which is sometimes called the gastrointestinal.  tract. in digestion, food and drink are broken down into small parts.  that the body can absorb and use as energy and building blocks for cells. the digestive tract is made up of the esophagus. , stomach, large and small intestines, liver, pancreas, and the gallbladder.)",4,0
2388,what is.  digestive diseases ?,"the first sign of problems in the digestive tract often includes one or more of the following symptoms: - bleeding - bloating - constipation - diarrhea - heartburn - incontinence - nausea and vomiting - pain the belly - swallowing problems - weight gain or loss a digestive disease is any health problem that occurs in the digestive tract. conditions may range from mild to serious. some common problems include cancer, irritable bowel syndrome, and lactose intolerance. other digestive diseases include: - gallstones, cholecystis, and cholangitis - rectal problems, such as anal fissure, hemorrhoids, proctis, and rectal prolapse - esophagus problems, such as stricture.  and achalasia - liver problems, such as hepatis b or hepatis c, cirrhosis, liver failure, and autoimmune and alcoholic hepatis - pancreatis and pancreatic pseudocyst - intestinal problems, such as polyps and cancer, infections, celiac disease, crohn's disease, ulcerative colitis, diverticulitis, malabsorption, short bowel syndrome, and intestinal ischemia - gastroesophageal reflux disease. , peptic ulcer disease, and hiatal hernia tests for digestive problems can include colonoscopy, upper gi endoscopy, capsule endoscopy, endoscopic retrograde cholangiopancreatography. , and endoscopic ultrasound. many surgical procedures are performed on the digestive tract. these include procedures done using endoscopy, laparoscopy, and open surgery. organ transplants can be performed on the liver, pancreas, and small intestine. many health care providers can help diagnose and treat digestive problems. a gastroenterologist is a physician specialist who has received extra traing in the diagnosis and treatment of the digestive disorders. other health care providers involved in the treatment of digestive diseases include: - nurse practioners.  or physician assistants.  - nutritionists or dietians - primary care doctors - radiologists - surgeons)",1,0
2389,"do you have information about palliative care - fluid, food, and digestion.","it is normal for a person who is dying to not feel like eating. a serious illness can cause body systems that manage fluids and food to change at this time. they can slow down and fail. also, medicine that treats pain cause dry, hard stools that are difficult to pass.",1,0
2390,what is.  gas in the digestive tract ?,"gas is air in the digestive tractthe large, muscular tube that extends from the mouth to the anus, where the movement of muscles, along with the release of hormones and enzymes, allows for the digestion of food. gas leaves the body when people burp through the mouth or pass gas through the anus.",6,2
2391,what to do for gas in the digestive tract ?,"peoples eating habits and diet affect the amount of gas they have. for example, eating and drinking too fast may increase the amount of air swallowed, and foods that contain carbohydrates may cause some people to have more gas.",1,2
2392,do you have information about nicotine replacement therapy.,"nicotine replacement therapy is a treatment to help people stop smoking. it uses products that supply low doses of nicotine. these products do not contain many of the toxins found in smoke. the goal of therapy is to cut down on cravings for nicotine and ease the symptoms of nicotine withdrawal. facts about using nicotine replacement therapy: - the more cigarettes you smoke, the higher the dose you may need to start. - adding a counseling program will make you more likely to quit. - do not smoke while using nicotine replacement. it can cause nicotine to build up toxic levels. - nicotine replacement helps prevent weight gain while you are using it. you may still gain weight when you stop all nicotine use. - the dose of nicotine should be slowly decreased. types of nicotine replacement therapy nicotine supplements come in many forms: - gum - inhalers - lozenges - nasal spray - skin patch all of these work well if they are used correctly. people are more likely to use the gum and patches correctly than other forms. nicotine patch all nicotine patches are placed and used in similar ways: - a single patch is worn each day. it is replaced after 24 hours. - place the patch on different areas above the waist and below the neck each day. - put the patch on a hairless spot. - people who wear the patches for 24 hours will have fewer withdrawal symptoms. - if wearing the patch at night causes odd dreams, try sleeping without the patch. - people who smoke fewer than 10 cigarettes per day should start with a lower dose patch.. nicotine gum or lozenge you can buy nicotine gum or lozenges without a prescription. some people prefer lozenges to the patch, because they can control the nicotine dose. tips for using the gum: - if you are just starting to quit, chew 1 to 2 pieces each hour. do not chew more than 20 pieces a day. - chew the gum slowly until it develops a peppery taste. then, tuck it between the gum and cheek and store it there. this lets the nicotine be absorbed. - the goal is to stop using the gum by 6 months. using nicotine gum long-term may be safer than smoking, but research is need to confirm this. - wait at least 15 minutes after drinking coffee, tea, soft drinks, and acidic beverages before chewing a piece of gum. - people who smoke more than 25 cigarettes per day have better results with the 4 mg dose than with the 2 mg dose. nicotine inhaler the nicotine inhaler looks like a plastic cigarette holder. it requires a prescription in the united states. - insert nicotine cartridges into the inhaler and ""puff"" for about 20 minutes. do this up to 16 times a day. - the inhaler is quick-acting. it takes about the same time as the gum to act. it is faster than the 2 to 4 hours it takes for the patch to work. - the inhaler satisfies oral urges. - most of the nicotine vapor does not go into the airways of the lung. some people have mouth or throat irritation and cough with the inhaler. it can help to use the inhaler and patch together when quitting. nicotine nasal spray the nasal spray provides a quick dose of nicotine to satisfy a craving you are unable to ignore. levels of nicotine peak within 5 to 10 minutes after using the spray. - it may be used along with the patch. - the spray can irritate the nose, eyes, and throat. these side effects often go away in a few days. side effects and risks all nicotine products may cause side effects. symptoms are more likely when you use very high doses. reducing the dose can prevent these symptoms. side effects include: - headaches - nausea and other digestive problems - problems getting to sleep in the first few days, most often with the patch. this problem usually passes. special concerns nicotine patches are okay for use by most people with stable heart or blood circulation problems. but, the unhealthy cholesterol levels.  caused by smoking do not get better until the nicotine patch is stopped. nicotine replacement may not be completely safe in pregnant women. the unborn children of women who use the patch may have a faster heart rate. keep all nicotine products away from children. - the concern is greater for small children. nicotine is a poison. - call the doctor a poison control center right away if a child has been exposed to a nicotine replacement product, even for a short time.)",5,0
2393,do you have information about risks of tobacco.,"tobacco is a plant. its leaves are smoked, chewed, or sniffed for a variety of effects. - tobacco contains the chemical nicotine, which is an addictive substance. - tobacco smoke contains more than 7,000 chemicals, 69 of which are known to cause cancer. - tobacco that is not burned is called smokeless tobacco. including nicotine, there are 29 chemicals in smokeless tobacco that are known to cause cancer. health risks of smoking or using smokeless tobacco knowing the serious health risks of using tobacco may help motivate you to quit. using tobacco over a long time can increase your risk of many health problems. heart and blood vessel problems: - blood clots and weakness in the walls of blood vessels in the brain, which can lead to stroke - blood clots in the legs, which may travel to the lungs - coronary artery disease, including angina and heart attacks - temporarily increased blood pressure after smoking - poor blood supply to the legs - problems with erections because of decreased blood flow into the penis other health risks or problems: - cancer.  - poor wound healing after surgery - lung problems, such as copd or asthma that is harder to control - problems during pregnancy, such as babies born at a low birth weight, early labor, losing your baby, and cleft lip - decreased ability to taste and smell - harm to sperm, which may lead to infertility - loss of sight due to an increased risk of macular degeneration - tooth and gum diseases - wrinkling of the skin smokers who switch to smokeless tobacco instead of quitting tobacco still have health risks: - increased risk of mouth or nasal cancer - gum problems, tooth wear, and cavities - worsening high blood pressure and angina health risks of secondhand smoke those who are often around the smoke of others.  have a higher risk of: - heart attack and heart disease - lung cancer - sudden and severe reactions, including of the eye, nose, throat, and lower respiratory tract infants and children who are often exposed to secondhand smoke are at risk of: - asthma flares.  - infections of the mouth, throat, sinuses, ears, and lungs - lung damage.  - sudden infant death syndrome.  like any addiction, quitting tobacco is difficult, especially if you are doing it alone. - seek support from family members, friends, and coworkers. - talk to your health care provider about nicotine replacement therapy and smoking cessation medications. - join a smoking cessation program and you will have a much better chance of success. such programs are offered by hospitals, health departments, community centers, and work sites.)",3,0
2394,what is.  smoking and asthma ?,"things that make your allergies or asthma worse are called triggers. smoking is a trigger for many people who have asthma. it is important to know your triggers because avoiding them is your first step toward controlling your asthma. you do not have to be a smoker for smoking to cause harm. exposure to someone else's smoking.  is a trigger for asthma attacks in children and adults. smoking weakens the lungs. when you have asthma and you smoke, your lungs will weaken more rapidly. smoking around children with asthma will weaken their lungs, too.)",4,0
2395,what is.  smoking and copd ?,"smoking is the leading cause of copd. smoking is also a trigger for copd flare-ups. smoking damages the air sacs, airways, and the ling of your lungs. injured lungs have trouble moving enough air in and out, so it's hard to breathe. things that make chronic obstructive pulmonary disease.  symptoms worse are called triggers. knowing what your triggers are and how to avoid them can help you feel better. smoking is a trigger for many people who have copd. smoking can cause an exacerbation, or flare-up, of your symptoms. you do not have to be a smoker for smoking to cause harm. exposure to someone else's smoking.  is also a trigger for copd flare-ups. smoking damages your lungs. when you have copd and smoke, your lungs will get damaged more rapidly than if you were to stop smoking.)",4,0
2396,what is.  smoking and surgery ?,quitting smoking and other tobacco products before surgery can improve your recovery and outcome after surgery. most people who successfully quit smoking have tried and failed many times. do not give up. learning from your past tries can help you succeed.),3,2
2397,do you have information about stop smoking support programs.,"it is hard to quit smoking if you are acting alone. smokers may have a much better chance of quitting with a support program. stop smoking programs are offered by hospitals, health departments, community centers, work sites, and national organizations. you can find out about smoking cessation programs from: - your doctor local hospital - your health insurance plan - your employer - your local health department - the national cancer institute at 877-448-7848 - the american cancer society's quitline at 800-227-2345 - the american lung association, which has online and phone advice programs - state programs in all 50 states and the district of columbia the best smoking cessation programs combine numerous approaches and target the fears and problems you have when quitting. they also provide ongoing support for staying away from tobacco. be wary of programs that: - are short and offer no help over time - charge a high fee - offer supplements or pills that are only available through the program - promise an easy path to quitting telephone-based help telephone-based services can help you design a stop smoking program that meets your needs. these services are easy to use. the counselors can help you avoid common mistakes. this kind of support can be as effective as face-to-face counseling. telephone programs are often available on nights and weekends. trained counselors will help you set up a support network for quitting and help you decide which stop smoking aids to use. choices may include: - medicines - nicotine replacement therapy - support programs or classes support groups let your friends, family, and coworkers know of your plans to stop smoking and your quit date. it helps for people around you to be aware of what you are going through, especially when you are grumpy. you may also want to seek out other types of support, such as: - your family doctor nurse. - groups of ex-smokers. - nicotine anonymous. this organization uses a similar approach as alcoholics anonymous. as part of this group, you will be asked to admit that you are powerless over your addiction to nicotine. also, a sponsor is often available to help you get through urges to smoke. stop smoking programs and classes stop smoking programs can also help you find a quitting method that suits your needs. they will help you be aware of problems that come up while you're trying to quit and offer tools to cope with these problems. these programs can help you avoid making common mistakes. programs may either have one-one sessions or group counseling. some programs offer both. programs should be run by counselors who are trained to help people quit smoking. programs that provide more sessions or longer sessions have a better chance of success. the american cancer society recommends programs like the following: - each session lasts at least 15 to 30 minutes. - there at least 4 sessions. - the program lasts at least 2 weeks, although longer is usually better. - the leader is trained in smoking cessation. internet-based programs are also becoming more available. these services send you personalized reminders using e-mail, texting, or other methods.)",3,2
2398,do you have information about quitting smoking.,"tobacco use is the most common preventable cause of death. about half of the people who don't quit smoking will die of smoking-related problems. quitting smoking is important for your health. soon after you quit, your circulation begins to improve, and your blood pressure starts to return to normal. your sense of smell and taste return, and it's easier for you to breathe. in the long term, giving up tobacco can help you live longer. your risk of getting cancer decreases with each year you stay smoke-free. quitting is not easy. you may have short-term affects such as weight gain, irritability, and anxiety. some people try several times before they succeed. there are many ways to quit smoking. some people stop ""cold turkey."" others benefit from step-by-step manuals, counseling, or medicines or products that help reduce nicotine addiction. some people think that switching to e-cigarettes can help you quit smoking, but that has not been proven. your health care provider can help you find the best way for you to quit. nih: national cancer institute)",3,2
2399,do you have information about secondhand smoke.,"secondhand smoke is a mixture of the smoke that comes from the burning end of a cigarette, cigar, or pipe, and the smoke breathed out by the smoker. it contains more than 7,000 chemicals. hundreds of those chemicals are toxic and about 70 can cause cancer. health effects of secondhand smoke include - ear infections in children - more frequent and severe asthma attacks in children - heart disease and lung cancer in adults who have never smoked there is no safe amount of secondhand smoke. even low levels of it can be harmful. the only way to fully protect nonsmokers from secondhand smoke is not to allow smoking indoors. centers for disease control and prevention)",3,0
2400,what is.  smoking and youth.,"smoking cigarettes has many health risks for everyone. however, the younger you are when you start smoking, the more problems it can cause. people who start smoking before the age of 21 have the hardest time quitting. teens who smoke are also more likely to use alcohol and illegal drugs. the problem is not just cigarettes. spit tobacco, e-cigarettes, and cigars are not safe alternatives to cigarettes. low-tar and additive-free tobacco products are not safe either. young people who do not start using tobacco by age 18 will most likely never start. centers for disease control and prevention)",3,0
2401,do you have information about benefits of quitting tobacco.,"if you smoke, you should quit. but quitting can be hard. most people who have quit smoking havetried at least once, without success, in the past. view any past attempts to quit as a learning experience, not a failure. there are many reasons to quit using tobacco. long-term use of tobacco can increase your risk of many serious health problems. the benefits of quitting - your breath, clothes, and hair will smell better. - your sense of smell will return. food will taste better. - your fingers and fingernails will slowly appear less yellow. - your stained teeth may slowly become whiter. - your children will be healthier and will be less likely to start smoking. - it will be easier and cheaper to find an apartment or hotel room. - you may have an easier time getting a job. - friends may be more willing to be in your car or home. - it may be easier to find a date. many people do not smoke and do not like to be around people who smoke. - you will save money. if you smoke a pack a day, you spendabout $1,800 a year on cigarettes. health benefits some health benefits begin almost immediately. every week, month, and year without tobacco further improves your health. - within 20 minutes of quitting: your blood pressure and pulse rate drop to normal and the temperature of your hands and feet increases to normal. - within 8 hours of quitting: your blood carbon monoxide levels drop and your blood oxygen levels increase to normal levels. - within 24 hours of quitting: your risk of a sudden heart attack goes down. - within 48 hours of quitting: your nerve endings begin to regrow. your senses of smell and taste begin to return to normal. - within 2 weeks to 3 months of quitting: your circulation improves. walking becomes easier. your lungs work better. wounds heal more quickly. - within 1 to 9 months of quitting: you have more energy. smoking-related symptoms, such as coughing, nasal congestion, fatigue, and shortness of breath improve. you will have fewer illnesses, colds, and asthma attacks. you will gradually no longer be short of breath with everyday activities. - within 1 year of quitting: your risk of coronary heart disease is half that of someone still using tobacco. - within 5 years of quitting: your chances of developing lung cancer drop by nearly 50% compared to people who smoke one pack a day. your risk of mouth cancer is half that of a tobacco user. - within 10 years of quitting: your risk of cancer goes down. your risk of stroke and lung cancer are now similar to that of someone who never smoked. other health benefits of quitting smoking include: - lower chance of blood clots in the legs, which may travel to the lungs - lower risk of erectile dysfunction - fewer problems during pregnancy, such as babies born at low birth weight, premature labor, miscarriage, and cleft lip - lower risk of infertility due to damaged sperm - healthier teeth, gums, and skin infants and children who you live with will have: - asthma that is easier to control - fewer visits to the emergency room - fewer colds, ear infections, and pneumonia - reduced risk of sudden infant death syndrome.  making the decision like any addiction, quitting tobacco is difficult, especially if you do it alone. there a lot of ways to quit smoking and many resources to help you. talk to your doctor about nicotine replacement therapy and smoking cessation medications. if you join smoking cessation programs, you have a much better chance of success. such programs are offered by hospitals, health departments, community centers, and work sites.)",3,0
2402,do you have information about nicotine and tobacco.,"the nicotine in tobacco can be addictive like alcohol, cocaine, and morphine.",3,2
2403,what are the side effects or risks of nicotine lozenges ?,"nicotine lozenges may cause side effects. tell your doctor if either of these symptoms is severe or does not go away: - heartburn - sore throat some side effects can be serious. if you experience either of these symptoms, call your doctor immediately: - mouth problems - irregular or fast heartbeat nicotine lozenges may cause other side effects. call your doctor if you have any unusual problems while using this medication.)",1,0
2404,do you have information about nicotine and tobacco.,"the nicotine in tobacco can be addictive like alcohol, cocaine, and morphine.",3,2
2405,what are the side effects or risks of nicotine gum ?,"if you experience any of the following symptoms, stop using nicotine gum and call your doctor immediately or get emergency medical treatment: - mouth, tooth, or jaw problems - dizziness - nausea - vomiting - diarrhea - weakness - fast, pounding, or irregular heartbeat - difficulty breathing - rash - blisters in the mouth nicotine gum may cause other side effects. call your doctor if you have any unusual problems while taking this medication. if you experience a serious side effect, you or your doctor may send a report to the food and drug administration's.  med. watch adverse event reporting program online.  or by phone..)",1,0
2406,what is.  ankle pain.,ankle pain involves any discomfort in one or both ankles.),1,0
2407,what causes ankle pain.,"ankle pain is often due to ankle sprain. - ankle sprain is an injury to the ligaments, which connect bones to one another. - in most cases, the ankle is twisted inward, causing small tears in the ligaments. the tearing leads to swelling and bruising, making it difficult to bear weight on the joint. in addition to ankle sprains, ankle pain can be caused by: - damage or swelling of tendons.  or cartilage.  - infection in the ankle joint - osteoarthritis, gout, rheumatoid arthritis, reiter syndrome, and other types of arthritis problems in areas near the ankle that can cause you to feel pain the ankle include: - blockage of blood vessels in the leg - heel pain or injuries - nerve injuries.",1,0
2408,what is.  ankle replacement.,ankle replacement is surgery to replace the damaged bone and cartilage in the ankle joint. artificial joint parts.  are used to replace your own bones. there are different types of ankle replacement surgeries.),1,0
2409,what is.  ankle replacement.,"ankle replacement surgery is most often done while you are under general anesthesia. this means you will be asleep and not feel the pain. you may have spinal anesthesia. you can be awake but will not feel anything below your waist. if you have spinal anesthesia, you will also be given medicine to help you relax during the operation. your surgeon will make a surgical cut in the front of your ankle to expose the ankle joint. your surgeon will then gently push the tendons, nerves, and blood vessels to the side. after this: - your surgeon will remove the damaged bone and cartilage. your surgeon will replace the damaged part of: - the lower end of your shin bone.  - the top of your foot bone.  that the leg bones rest on - the metal parts of the new artificial joint are then attached to the cut bony surfaces. a special glue/bone cement may be used to hold them in place. - a piece of plastic is then inserted between the two metal parts. - screws maybe placed to stabilize your ankle. the surgeon will put the tendons back into place and close the wound with sutures.. you may need to wear a splint, cast, or brace for a while to keep the ankle from moving.)",1,0
2410,what causes gums - swollen.,"- gingivitis - infection by a virus or fungus - malnutrition - poorly fitting dentures or other dental appliances - pregnancy - sensitivity toothpaste or mouthwash - scurvy - side effect of a drug such as dilantin, phenobarbital, or calcium channel blockers)",1,1
2411,what causes swollen lymph nodes.,"infections are the most common cause ofswollen lymph nodes. infections that can cause them include: - abscessed or impacted tooth - ear infection - colds, flu, and other infections - gingivitis - monucleosis - mouth sores - sexually transmitted illness - tonsillitis - tuberculosis - skin infections immune or autoimmune disorders that can cause swollen lymph nodes are: - hiv - rheumatoid arthritis cancers that can cause swollen lymph nodes include: - leukemia - hodgkin disease - non-hodgkin lymphoma other cancers may also cause this problem. certain medications can cause swollen lymph nodes, including: - seizure medicines such as phenytoin - typhoid immunization which lymph nodes are swollen depends on the cause and the body parts involved. swollen lymph nodes that appear suddenly and are painful are usually due to injury or infection. slow, painless swelling may be due to cancer or a tumor.)",4,0
2412,"what to do for foot, leg, and ankle swelling.",painless swelling may affect both legs and may include the calves or even the thighs. the effect of gravity makes the swelling most noticeable in the lower part of the body.),1,1
2413,"what to do for foot, leg, and ankle swelling.","some tips that may help reduce swelling: - put your legs on pillows to raise them above your heart while lying down. - exercise your legs. this helps pump fluid from your legs back to your heart. - follow a low-salt diet, which may reduce fluid buildup and swelling. - wear support stockings.. - when traveling, take breaks often to stand up and move around. - avoid wearing tight clothing or garters around your thighs. - lose weight if you need to. never stop taking any medicines you think may be causing swelling without first talking to your health care provider.)",1,2
2414,"do i need to see a doctor foot, leg, and ankle swelling.","call 911 if: - you feel short of breath. - you have chest pain, especially if it feels like pressure or tightness. call your provider right away if: - you have heart disease or kidney disease and the swelling gets worse. - you have a history of liver disease and now have swelling in your legs or abdomen. - your swollen foot or leg is red or warm to the touch. - you have a fever. - you are pregnant and have more than just mild swelling or have a sudden increase in swelling. also call your provider if self-care measures do not help or swelling gets worse.)",1,0
2415,"what is the outlook for foot, leg, and ankle swelling.","your provider will take a medical history and do a thorough physical examination, paying special attention to your heart, lungs, abdomen, lymph nodes, legs, and feet. your provider will ask questions like the following: - what body parts swell? your ankles, feet, legs? above the knee or below? - do you have swelling at all times or is it worse in the morning or evening? - what makes your swelling better? - what makes your swelling worse? - does the swelling get better when you raise your legs? - have you had blood clots in your legs or lungs? - have you had varicose veins? - what other symptoms do you have? diagnostic tests that may be done include: - blood tests such as a cbc or blood chemistry - chest x-ray or extremity x-ray - doppler ultrasound examination of your leg veins - ecg - urinalysis your treatment will focus on the cause of the swelling. your provider may prescribe diuretics to reduce the swelling, but these can have side effects. home treatment for leg swelling that is not related to a serious medical condition should be tried before drug therapy.)",1,2
2416,what to do for joint swelling.,"joint swelling may occur along with joint pain. the swelling may cause the joint to appear larger or abnormally shaped. joint swelling can cause pain or stiffness. after an injury, swelling of the joint may mean you have a broken bone or a tear in the muscle tendon or ligament. many different types of arthritis may cause swelling, redness, or warmth around the joint. an infection in the joint can cause swelling, pain, and fever.)",1,0
2417,what to do for joint swelling.,"if joint swelling occurs after an injury, apply ice packs to reduce pain and swelling. raise the swollen joint so that is higher than your heart, if possible. for example, if your ankle is swollen, lay down with pillows comfortably placed under your foot so that your ankle and leg are slightly raised. if you have arthritis, follow your health care provider's treatment plan.)",1,0
2418,"what is.  foot, leg, and ankle swelling.","painless swelling of the feet and ankles is a common problem, especially among older people. abnormal buildup of fluid in the ankles, feet, and legs can cause swelling. this fluid buildup and swelling is called edema.)",1,0
